id,name,link,regular_price,promo_price,city
230024,"Кофе Illy без кофеина в зернах, 250г",https://online.metro-cc.ru/products/kofe-illy-bez-kofeina-zernovoy-250g,1 899,1 099,Санкт-Петербург
629006,"Кофе Kimbo Espresso в зернах, 1кг",https://online.metro-cc.ru/products/kimbo-espresso-v-zernah-1-kg,2 189,2 099,Санкт-Петербург
531031,"Кофе Alta Roma Intenso в зернах, 1кг",https://online.metro-cc.ru/products/kofe-alta-roma-intenso-v-zernakh-1kg,1 999,1 399,Санкт-Петербург
508641,"Кофе Egoiste Noir в зернах, 250г",https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-v-zernah-noir-250g,689,499,Санкт-Петербург
246069,"Кофе Alta Roma Rwanda зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-alta-roma-rwanda-zernovoy,3 209,1 899,Санкт-Петербург
609222,"RIOBA Кофе Espresso Decaffeeinated в зернах без кофеина, 500г",https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-espresso-decaffeeinated-500g,1 429,,Санкт-Петербург
246958,"Кофе Barbera Hesperia в зернах, 1кг",https://online.metro-cc.ru/products/kofe-barbera-hesperia-v-zernah-1kg,3 699,1 999,Санкт-Петербург
246518,"Кофе Egoiste Truffle зерновой, 250г",https://online.metro-cc.ru/products/kofe-egoiste-truffle-zernovoy-250g,699,469,Санкт-Петербург
75962,"Кофе Bushido Specialty в зернах, 227г",https://online.metro-cc.ru/products/bushido-specialty-227g-75962,909,569,Санкт-Петербург
654817,"Кофе Julius Meinl Trend Collection Espresso Classico в зернах, 1кг",https://online.metro-cc.ru/products/julius-meinl-espresso-trend-1kg,2 499,1 699,Санкт-Петербург
112990,"Кофе Carraro Arabica 100% в зернах, 500г",https://online.metro-cc.ru/products/v-zernah-carraro-arabica-100-500-g,1 949,1 499,Санкт-Петербург
249898,"Кофе Fresco Guatemala в зернах, 900г",https://online.metro-cc.ru/products/kofe-fresco-guatemala-v-zernah-900g,1 999,1 399,Санкт-Петербург
60434,"Кофе Kimbo Integrity Bio в зернах, 1кг",https://online.metro-cc.ru/products/kimbo-integrity-bio-1-kg,3 049,2 799,Санкт-Петербург
599512,"Кофе Ambassador Platinum в зернах, 1кг",https://online.metro-cc.ru/products/ambassador-naturalnyj-zharenyj-platinum-1kg,1 899,1 399,Санкт-Петербург
112991,"Кофе Carraro Qualita Oro в зернах, 500г",https://online.metro-cc.ru/products/v-zernah-carraro-qualita-oro-500-g,1 699,1 299,Санкт-Петербург
257965,"Кофе Poetti Soul of Rome натуральный жареный в зернах, 800г",https://online.metro-cc.ru/products/kofe-poetti-soul-of-rome-naturalnyy-zharenyy-v-zernah-800g,2 399,1 299,Санкт-Петербург
243162,"Кофе Живой кофе Mokka Африка зерновой, 800г",https://online.metro-cc.ru/products/800g-zhivoy-kofe-mokka-afrika-zerno,2 899,1 299,Санкт-Петербург
245946,"Кофе Vergnano Эспрессо зерновой, 1кг",https://online.metro-cc.ru/products/kofe-vergnano-espresso-zernovoy-1kg,4 299,2 599,Санкт-Петербург
235414,"Кофе Miscela D'Oro Espresso Gran Crema в зернах, 1кг",https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-gran-crema-v-zernah-1kg,3 099,2 499,Санкт-Петербург
